Question,Segment Type,Segment Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,University,Penn State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Penn State University,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,Penn State University,Snapchat,1,0.333
What social platform has influenced your online shopping most?,University,Penn State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Penn State University,None,1,0.333
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Facebook,1,0.25
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Case Western Reserve University,None,3,0.75
What social platform has influenced your online shopping most?,University,Rutgers University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Rutgers University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Rutgers University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Rutgers University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Rutgers University,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Oregon,Facebook,1,0.25
What social platform has influenced your online shopping most?,University,University of Oregon,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Oregon,Snapchat,2,0.5
What social platform has influenced your online shopping most?,University,University of Oregon,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Oregon,None,1,0.25
What social platform has influenced your online shopping most?,University,University of Toronto,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Toronto,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,University of Toronto,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Toronto,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Toronto,None,1,0.333
What social platform has influenced your online shopping most?,University,State University of New York Geneso,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,State University of New York Geneso,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,State University of New York Geneso,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,State University of New York Geneso,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,State University of New York Geneso,None,1,1.0
What social platform has influenced your online shopping most?,University,Carthage College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Carthage College,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Carthage College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Carthage College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Carthage College,None,1,1.0
What social platform has influenced your online shopping most?,University,University of South Carolina,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of South Carolina,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of South Carolina,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of South Carolina,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of South Carolina,None,4,1.0
What social platform has influenced your online shopping most?,University,Wesleyan University,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Wesleyan University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Wesleyan University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Wesleyan University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Wesleyan University,None,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Kansas,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Kansas,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Kansas,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Kansas,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,University of Kansas,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Redlands,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Redlands,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,University of Redlands,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Redlands,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Redlands,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Arkansas,Facebook,1,0.053
What social platform has influenced your online shopping most?,University,University of Arkansas,Instagram,10,0.526
What social platform has influenced your online shopping most?,University,University of Arkansas,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Arkansas,Twitter,3,0.158
What social platform has influenced your online shopping most?,University,University of Arkansas,None,5,0.263
What social platform has influenced your online shopping most?,University,Wake Forest University,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Wake Forest University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Wake Forest University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Wake Forest University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Wake Forest University,None,0,0.0
What social platform has influenced your online shopping most?,University,Iowa State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Iowa State University,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,Iowa State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Iowa State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Iowa State University,None,2,0.667
What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Missouri,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Central Missouri,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Missouri,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Missouri,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Missouri,None,2,0.667
What social platform has influenced your online shopping most?,University,California State University Long Beach,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,California State University Long Beach,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,California State University Long Beach,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,California State University Long Beach,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,California State University Long Beach,None,0,0.0
What social platform has influenced your online shopping most?,University,Colorado Academy,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,Colorado Academy,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Colorado Academy,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Colorado Academy,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Colorado Academy,None,1,0.5
What social platform has influenced your online shopping most?,University,United States Naval Academy,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,United States Naval Academy,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,United States Naval Academy,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,United States Naval Academy,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,United States Naval Academy,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,None,0,0.0
What social platform has influenced your online shopping most?,University,Lock Haven University,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Lock Haven University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Lock Haven University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Lock Haven University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Lock Haven University,None,0,0.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,None,0,0.0
What social platform has influenced your online shopping most?,University,Stanford University,Facebook,2,0.222
What social platform has influenced your online shopping most?,University,Stanford University,Instagram,2,0.222
What social platform has influenced your online shopping most?,University,Stanford University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Stanford University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Stanford University,None,5,0.556
What social platform has influenced your online shopping most?,University,Vanderbilt University,Facebook,15,0.375
What social platform has influenced your online shopping most?,University,Vanderbilt University,Instagram,11,0.275
What social platform has influenced your online shopping most?,University,Vanderbilt University,Snapchat,1,0.025
What social platform has influenced your online shopping most?,University,Vanderbilt University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Vanderbilt University,None,13,0.325
What social platform has influenced your online shopping most?,University,Chapman University,Facebook,2,0.2
What social platform has influenced your online shopping most?,University,Chapman University,Instagram,6,0.6
What social platform has influenced your online shopping most?,University,Chapman University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Chapman University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Chapman University,None,2,0.2
What social platform has influenced your online shopping most?,University,Missouri State University,Facebook,3,0.12
What social platform has influenced your online shopping most?,University,Missouri State University,Instagram,10,0.4
What social platform has influenced your online shopping most?,University,Missouri State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Missouri State University,Twitter,2,0.08
What social platform has influenced your online shopping most?,University,Missouri State University,None,10,0.4
